Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,341.2,-115.3375,90.0,bottom
C2,120p,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,353.305,-144.01,0.0,bottom
C3,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,358.62,-161.09,180.0,bottom
C4,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,344.41,-161.12,90.0,bottom
C5,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,357.8,-144.2,0.0,bottom
C6,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,348.935,-186.88,180.0,bottom
C7,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,340.77,-167.695,270.0,bottom
C10,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,351.6,-125.7,270.0,bottom
C16,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,350.38,-146.73,270.0,bottom
C17,22u,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,359.08,-152.87,180.0,bottom
D30,LED_ARGB,23-23B-R6GHBHC-A01-2A,347.51,-141.52,0.0,bottom
D31,LED_ARGB,23-23B-R6GHBHC-A01-2A,347.5,-150.52,0.0,bottom
D32,LED_ARGB,23-23B-R6GHBHC-A01-2A,347.5,-159.535,0.0,bottom
D88,,ComboDiode,240.0,-184.5,0.0,top
D89,,ComboDiode,240.0,-167.0,0.0,top
D90,,ComboDiode,240.0,-149.5,0.0,top
D91,,ComboDiode,258.5,-184.5,0.0,top
D92,,ComboDiode,258.5,-167.0,0.0,top
D93,,ComboDiode,258.5,-149.5,0.0,top
D94,,ComboDiode,258.5,-132.0,0.0,top
D95,,ComboDiode,277.0,-184.5,0.0,top
D96,,ComboDiode,277.0,-167.0,0.0,top
D97,,ComboDiode,277.0,-149.5,0.0,top
D98,,ComboDiode,277.0,-132.0,0.0,top
D99,,ComboDiode,277.0,-114.5,0.0,top
D100,,ComboDiode,295.5,-179.5,0.0,top
D101,,ComboDiode,295.5,-162.0,0.0,top
D102,,ComboDiode,295.5,-144.5,0.0,top
D103,,ComboDiode,295.5,-127.0,0.0,top
D104,,ComboDiode,295.5,-109.5,0.0,top
D105,,ComboDiode,314.0,-184.5,0.0,top
D106,,ComboDiode,314.0,-167.0,0.0,top
D107,,ComboDiode,314.0,-149.5,0.0,top
D108,,ComboDiode,314.0,-132.0,0.0,top
D109,,ComboDiode,314.0,-114.5,0.0,top
D110,,ComboDiode,332.5,-171.0,0.0,top
D111,,ComboDiode,332.5,-153.5,0.0,top
D112,,ComboDiode,332.5,-136.0,0.0,top
D113,,ComboDiode,332.5,-118.5,0.0,top
D114,,ComboDiode,332.673783,-191.630315,-11.5,top
D115,,ComboDiode,351.800734,-199.303793,-32.22,top
D116,,ComboDiode,366.975678,-213.248096,-52.94,top
F3,Polyfuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,354.29,-134.97,90.0,bottom
F4,Polyfuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,337.38,-103.64,270.0,bottom
J1,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,348.77,-132.91,180.0,bottom
J6,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,332.49,-96.595,180.0,bottom
J8,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Vertical,373.675922,-194.185922,135.0,bottom
L2,470n,MHCI05020-R47M-R8,353.95,-151.38,180.0,bottom
R1,62,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,344.8875,-139.0,0.0,bottom
R2,0.01m,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,358.17,-157.65,270.0,bottom
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,347.4,-122.3,180.0,bottom
R5,453k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,353.2875,-141.73,0.0,bottom
R7,3.3K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,337.6,-117.1,90.0,bottom
R8,2.2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,350.3,-121.9,90.0,bottom
R9,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,353.3,-139.6,180.0,bottom
R13,0.01m,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,334.93,-103.7,270.0,bottom
R14,0.01m,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,354.26,-130.4,90.0,bottom
R19,1M2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,357.77,-141.7,180.0,bottom
R20,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,325.86,-99.24,270.0,bottom
R23,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,323.4,-99.25,270.0,bottom
R24,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,351.13,-159.19,270.0,bottom
R25,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,353.91,-159.17,270.0,bottom
R30,3M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,357.76,-146.8,0.0,bottom
S1,,PG1350,241.25,-179.8125,0.0,top
S2,,PG1350,241.25,-162.3125,0.0,top
S3,,PG1350,241.25,-144.8125,0.0,top
S4,,PG1350,259.75,-179.8125,0.0,top
