Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.53,-114.59,90.0,bottom
C2,120p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,105.28,-151.61,90.0,bottom
C3,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.2,-186.4,0.0,bottom
C4,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.4275,-185.76,180.0,bottom
C5,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.83,-150.61,270.0,bottom
C6,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.75,-161.2,180.0,bottom
C7,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.3825,-179.58,0.0,bottom
C10,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.89,-122.8125,270.0,bottom
C16,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.39,-148.54,0.0,bottom
C17,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.39,-157.02,0.0,bottom
D30,LED_ARGB,23-23B-R6GHBHC-A01-2A,113.99,-141.535,0.0,bottom
D31,LED_ARGB,23-23B-R6GHBHC-A01-2A,114.0,-150.535,0.0,bottom
D32,LED_ARGB,23-23B-R6GHBHC-A01-2A,114.0,-159.525,0.0,bottom
D59,,ComboDiode,221.5,-184.5,0.0,bottom
D60,,ComboDiode,221.5,-167.0,0.0,bottom
D61,,ComboDiode,221.5,-149.5,0.0,bottom
D62,,ComboDiode,203.0,-184.5,0.0,bottom
D63,,ComboDiode,203.0,-167.0,0.0,bottom
D64,,ComboDiode,203.0,-149.5,0.0,bottom
D65,,ComboDiode,203.0,-132.0,0.0,bottom
D66,,ComboDiode,184.5,-184.5,0.0,bottom
D67,,ComboDiode,184.5,-167.0,0.0,bottom
D68,,ComboDiode,184.5,-149.5,0.0,bottom
D69,,ComboDiode,184.5,-132.0,0.0,bottom
D70,,ComboDiode,184.5,-114.5,0.0,bottom
D71,,ComboDiode,166.0,-179.5,0.0,bottom
D72,,ComboDiode,166.0,-162.0,0.0,bottom
D73,,ComboDiode,166.0,-144.5,0.0,bottom
D74,,ComboDiode,166.0,-127.0,0.0,bottom
D75,,ComboDiode,166.0,-109.5,0.0,bottom
D76,,ComboDiode,147.5,-184.5,0.0,bottom
D77,,ComboDiode,147.5,-167.0,0.0,bottom
D78,,ComboDiode,147.5,-149.5,0.0,bottom
D79,,ComboDiode,147.5,-132.0,0.0,bottom
D80,,ComboDiode,147.5,-114.5,0.0,bottom
D81,,ComboDiode,129.0,-171.0,0.0,bottom
D82,,ComboDiode,129.0,-153.5,0.0,bottom
D83,,ComboDiode,129.0,-136.0,0.0,bottom
D84,,ComboDiode,129.0,-118.5,0.0,bottom
D85,,ComboDiode,128.826217,-191.630315,11.5,bottom
D86,,ComboDiode,109.699266,-199.303793,32.22,bottom
D87,,ComboDiode,94.524322,-213.248096,52.94,bottom
F3,Polyfuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.0,-136.31,90.0,bottom
F4,Polyfuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.42,-99.16,270.0,bottom
J1,Conn_01x02_Female,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,117.39,-133.3,180.0,bottom
J6,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7004,129.07,-97.485,180.0,bottom
L2,470n,MHCI05020-R47M-R8,106.02,-156.91,0.0,bottom
R1,68,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.6,-141.0,0.0,bottom
R2,0.01m,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.3875,-159.5,0.0,bottom
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.1875,-121.35,0.0,bottom
R5,453k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.0,-151.58,90.0,bottom
R7,3.3K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.0,-120.95,270.0,bottom
